mode,orig_key,new_key,orig_bytes,new_bytes,saved_bytes,saved_pct,status
image,website-content/schools/engineering-1.webp,website-content/optimized/schools/engineering-1.webp,2201540,304716,1896824,86.2,done
image,website-content/schools/architecture-1.webp,website-content/optimized/schools/architecture-1.webp,2280444,353544,1926900,84.5,done
image,website-content/schools/journalism-2.webp,website-content/optimized/schools/journalism-2.webp,1067846,164880,902966,84.6,done
image,website-content/schools/computer-1.webp,website-content/optimized/schools/computer-1.webp,1207010,125430,1081580,89.6,done
image,website-content/schools/fashion-2.webp,website-content/optimized/schools/fashion-2.webp,1909078,309586,1599492,83.8,done
image,website-content/schools/iica-1.webp,website-content/optimized/schools/iica-1.webp,3967494,406696,3560798,89.7,done
image,website-content/schools/iica-2.webp,website-content/optimized/schools/iica-2.webp,1039380,280092,759288,73.1,done
image,website-content/schools/sports-1.webp,website-content/optimized/schools/sports-1.webp,3504906,443444,3061462,87.3,done
image,website-content/schools/pharmacy-1.webp,website-content/optimized/schools/pharmacy-1.webp,1518644,202050,1316594,86.7,done
video,website-content/events/foundation-day-2026.mp4,website-content/optimized/events/foundation-day-2026.mp4,54364762,29760740,24604022,45.3,done
video,website-content/JLU-Dynamic-Campus-Experience.mp4,website-content/optimized/JLU-Dynamic-Campus-Experience.mp4,23560768,7617972,15942796,67.7,done
video,website-content/jlu ignited mind Award/JLU Foundationday day.mp4,website-content/optimized/jlu ignited mind Award/JLU Foundationday day.mp4,59162618,28646868,30515750,51.6,done
video,website-content/voices of jlu/faiza reel final.mp4,website-content/optimized/voices of jlu/faiza reel final.mp4,157889937,24228620,133661317,84.7,done
video,website-content/voices of jlu/Faiz siddiui reel.mp4,website-content/optimized/voices of jlu/Faiz siddiui reel.mp4,110610741,9562930,101047811,91.4,done
video,website-content/voices of jlu/shubham rawat cdc reel.mp4,website-content/optimized/voices of jlu/shubham rawat cdc reel.mp4,58986511,5168689,53817822,91.2,done
video,website-content/voices of jlu/cdc reel.mp4,website-content/optimized/voices of jlu/cdc reel.mp4,51285974,7718193,43567781,85.0,done
video,website-content/voices of jlu/hospitality w bgm.mp4,website-content/optimized/voices of jlu/hospitality w bgm.mp4,291137250,21474026,269663224,92.6,done
video,website-content/voices of jlu/tanya sharma cdc reel.mp4,website-content/optimized/voices of jlu/tanya sharma cdc reel.mp4,73117331,6455685,66661646,91.2,done
video,website-content/JLu events/videos/Jfss(2).mp4,website-content/optimized/JLu events/videos/Jfss(2).mp4,86040695,7820230,78220465,90.9,done
